Id,Time[ns],0:SPI: MISO data
1,27653731400.00,213
2,27653739400.00,254
3,27653747400.00,0
4,27653755400.00,1
5,27653763400.00,192
6,27653771400.00,1
7,27653779400.00,181
8,27653787400.00,255
9,27653795400.00,56
10,27653803400.00,1
11,27653811400.00,88
12,27653819400.00,0
13,27653827400.00,29
14,27653835400.00,0
15,27653843400.00,11
16,27653851400.00,255
17,27653859400.00,209
18,27653867400.00,126
19,27653875400.00,180
20,27653883400.00,0
21,27653891400.00,239
22,27653899400.00,1
23,27653907400.00,55
24,27653915400.00,254
25,27653923400.00,202
26,27653931400.00,0
27,27653939400.00,110
28,27653947400.00,1
29,27653955400.00,208
30,27653963400.00,254
31,27653971400.00,234
32,27653979400.00,254
33,27653987400.00,179
34,27653995400.00,0
35,27654003400.00,28
36,27654011400.00,1
37,27654019400.00,141
38,27654027400.00,255
39,27654035400.00,198
40,27654043400.00,1
41,27654051400.00,21
42,27654059400.00,254
43,27654067400.00,45
44,27654075400.00,255
45,27654083400.00,191
46,27654091400.00,254
47,27654099400.00,109
48,27654107400.00,254
49,27654115400.00,22
50,27654123400.00,1
51,27654131400.00,213
52,27654139400.00,0
53,27654147400.00,0
54,27654155400.00,1
55,27654163400.00,7
56,27654171400.00,126
57,27654179400.00,193
58,27654187400.00,254
59,27654195400.00,160
60,27654203400.00,128
61,27654211400.00,187
62,27654219400.00,0
63,27654227400.00,25
64,27654235400.00,255
65,27654243400.00,87
66,27654251400.00,127
67,27654259400.00,119
68,27654267400.00,255
69,27654275400.00,108
70,27654283400.00,129
71,27654291400.00,250
72,27654299400.00,1
73,27654307400.00,183
74,27654315400.00,126
75,27654323400.00,137
76,27654331400.00,254
77,27654339400.00,249
78,27654347400.00,1
79,27654355400.00,19
80,27654363400.00,0
81,27654371400.00,34
82,27654379400.00,0
83,27654387400.00,96
84,27654395400.00,254
85,27654403400.00,208
86,27654411400.00,255
87,27654419400.00,57
88,27654427400.00,0
89,27654435400.00,193
90,27654443400.00,1
91,27654451400.00,124
92,27654459400.00,254
93,27654467400.00,175
94,27654475400.00,254
95,27654483400.00,76
96,27654491400.00,129
97,27654499400.00,22
98,27654507400.00,1
99,27654515400.00,237
100,27654523400.00,126
101,27654531400.00,189
102,27654539400.00,254
103,27654547400.00,230
104,27654555400.00,128
105,27654563400.00,242
106,27654571400.00,255
107,27654579400.00,56
108,27654587400.00,255
109,27654595400.00,119
110,27654603400.00,1
111,27654611400.00,224
112,27654619400.00,1
113,27654627400.00,161
114,27654635400.00,254
115,27654643400.00,11
116,27654651400.00,254
117,27654659400.00,98
118,27654667400.00,1
119,27654675400.00,227
120,27654683400.00,1
121,27654691400.00,247
122,27654699400.00,255
123,27654707400.00,160
124,27654715400.00,255
125,27654723400.00,183
126,27654731400.00,254
127,27654739400.00,73
128,27654747400.00,1
129,27654755400.00,88
130,27654763400.00,1
131,27654771400.00,41
132,27654779400.00,255
133,27654787400.00,95
134,27654795400.00,254
135,27654803400.00,29
136,27654811400.00,0
137,27654819400.00,77
138,27654827400.00,255
139,27654835400.00,154
140,27654843400.00,255
141,27654851400.00,178
142,27654859400.00,1
143,27654867400.00,101
144,27654875400.00,0
145,27654883400.00,151
146,27654891400.00,255
147,27654899400.00,252
148,27654907400.00,255
149,27654915400.00,61
150,27654923400.00,254
151,27654931400.00,69
152,27654939400.00,0
153,27654947400.00,173
154,27654955400.00,1
155,27654963400.00,169
156,27654971400.00,255
157,27654979400.00,96
158,27654987400.00,255
159,27654995400.00,90
160,27655003400.00,0
161,27655011400.00,27
162,27655019400.00,0
163,27655027400.00,186
164,27655035400.00,255
165,27655043400.00,5
166,27655051400.00,254
167,27655059400.00,117
168,27655067400.00,0
169,27655075400.00,133
170,27655083400.00,255
171,27655091400.00,163
172,27655099400.00,254
173,27655107400.00,221
174,27655115400.00,0
175,27655123400.00,72
176,27655131400.00,1
177,27655139400.00,141
178,27655147400.00,255
179,27655155400.00,109
180,27655163400.00,255
181,27655171400.00,92
182,27655179400.00,0
183,27655187400.00,59
184,27655195400.00,255
185,27655203400.00,93
186,27655211400.00,255
187,27655219400.00,17
188,27655227400.00,0
189,27655235400.00,237
190,27655243400.00,254
191,27655251400.00,43
192,27655259400.00,255
193,27655267400.00,91
194,27655275400.00,1
195,27655283400.00,11
196,27655291400.00,254
197,27655299400.00,98
198,27655307400.00,254
199,27655315400.00,181
200,27655323400.00,1
201,27655331400.00,152
202,27655339400.00,0
203,27655347400.00,123
204,27655355400.00,126
205,27655363400.00,18
206,27655371400.00,0
207,27655379400.00,59
208,27655387400.00,0
209,27655395400.00,141
210,27655403400.00,255
211,27655411400.00,243
212,27655419400.00,255
213,27655427400.00,171
214,27655435400.00,254
215,27655443400.00,176
216,27655451400.00,1
217,27655459400.00,38
218,27655467400.00,1
219,27655475400.00,109
220,27655483400.00,254
221,27655491400.00,208
222,27655499400.00,1
223,27655507400.00,97
224,27655515400.00,1
225,27655523400.00,103
226,27655531400.00,255
227,27655539400.00,99
228,27655547400.00,254
229,27655555400.00,243
230,27655563400.00,255
231,27655571400.00,188
232,27655579400.00,255
233,27655587400.00,175
234,27655595400.00,255
235,27655603400.00,79
236,27655611400.00,1
237,27655619400.00,41
238,27655627400.00,1
239,27655635400.00,150
240,27655643400.00,255
241,27655651400.00,246
242,27655659400.00,254
243,27655667400.00,250
244,27655675400.00,0
245,27655683400.00,161
246,27655691400.00,1
247,27655699400.00,119
248,27655707400.00,255
249,27655715400.00,130
250,27655723400.00,254
251,27655731450.00,20
252,27655739450.00,1
253,27655747450.00,69
254,27655755450.00,0
255,27655763450.00,194
256,27655771450.00,255
257,27655779450.00,57
258,27655787450.00,254
259,27655795450.00,243
260,27655803450.00,0
261,27655811450.00,215
262,27655819450.00,254
263,27655827450.00,211
264,27655835450.00,255
265,27655843450.00,170
266,27655851450.00,0
267,27655859450.00,211
268,27655867450.00,254
269,27655875450.00,71
270,27655883450.00,255
271,27655891450.00,12
272,27655899450.00,1
273,27655907450.00,115
274,27655915450.00,0
275,27655923450.00,113
276,27655931450.00,255
277,27655939450.00,89
278,27655947450.00,126
279,27655955450.00,233
280,27655963450.00,1
281,27655971450.00,103
282,27655979450.00,0
283,27655987450.00,27
284,27655995450.00,255
285,27656003450.00,49
286,27656011450.00,255
287,27656019450.00,193
288,27656027450.00,1
289,27656035450.00,255
290,27656043450.00,255
291,27656051450.00,159
292,27656059450.00,126
293,27656067450.00,92
294,27656075450.00,0
295,27656083450.00,126
296,27656091450.00,0
297,27656099450.00,91
298,27656107450.00,255
299,27656115450.00,160
300,27656123450.00,1
301,27656131450.00,20
302,27656139450.00,1
303,27656147450.00,72
304,27656155450.00,0
305,27656163450.00,235
306,27656171450.00,255
307,27656179450.00,181
308,27656187450.00,255
309,27656195450.00,140
310,27656203450.00,0
311,27656211450.00,28
312,27656219450.00,1
313,27656227450.00,5
314,27656235450.00,255
315,27656243450.00,116
